"","X","Site","origin_date","time","date","daily_Ta","daily_Fsd","daily_Fld","daily_GPP","dateD","DOY","year","month","day","DAS","GDD","Rh","PAR","fPAR","moisture_stress","esat","eact","vapor_stress","heat_stress","APAR","LUE","LUEmax","biomass","NDVI_vals","LAI_vals","SAVI_vals","Lat","Dlength","GPP_pred","Crop","GCVI","blue","green","red","nir","swir1","swir2","sensor"
"50",50,"KR_CRK","2017_06_15","2017-06-15","2017-06-15",21.814375,328.454583333333,362.176916666667,9.80298270833333,"2017-06-15",166,2017,6,15,61,425.185791666667,73.4206521834693,13.62166848,0.270640234479606,0.332562150388396,2.61416478678542,1.91933683560845,1,0.99624058350212,3.68657155143066,2.65910550536556,8.02598825776209,27.1920546340942,0.34338920801878,0.395244614854455,0.211032414734364,38.2013,14.8032347596329,2.71920546340942,"Rice",-0.160862204043003,0.123085952,0.110294457,0.09811529,0.19813068,0.128121384,0.072171736,"Ls7"
"51",51,"KR_CRK","2017_09_03","2017-09-03","2017-09-03",20.3629166666667,276.012,355.657291666667,5.00495604166667,"2017-09-03",246,2017,9,3,141,1547.25547916667,69.9363058985141,11.446769664,0.471877247969955,0.869174881166741,2.39133093127607,1.67240851514302,1,0.982028979946238,5.40147016719429,0.926591443948753,1.08556745456412,92.983092455864,0.503482297509909,1.10639763087034,0.369048490226269,38.2013,12.9755994929132,9.2983092455864,"Rice",0.230132689932757,0.0930801939026794,0.0995972498463669,0.0891046967045593,0.269286160694756,0.181304843823364,0.0947839566195221,"Ls7"
"52",52,"KR_CRK","2017_10_21","2017-10-21","2017-10-21",13.1383333333333,190.522583333333,300.0255,0.1704475125,"2017-10-21",294,2017,10,21,189,1871.92283333333,58.7527156780229,7.901352576,0.113788127037287,0,1.51137801566174,0.887975628361887,1,0.78113579347726,0.899080110684281,0.189579894465994,Inf,0,0.218606306314468,0.124127073734999,0.152299528047442,38.2013,11.0375929925256,0,"Rice",0.199009942877622,0.085659901,0.084317393,0.09526272,0.143618781,0.193029318,0.132051642,"Ls7"
"53",53,"KR_CRK","2017_12_08","2017-12-08","2017-12-08",-6.23585416666667,129.657708333333,205.864645833333,0.03886775,"2017-12-08",342,2017,12,8,0,NA,39.652499794953,5.37716448,0.0586556632126868,0,0.383252737753962,0.151969291052041,1,-0.516260859999278,0.315401148778102,0.123232747092323,-Inf,0,0.17474595323205,0.0523957769724075,0.118823639675975,38.2013,9.60733090215336,0,"Rice",0.124850386002469,0.0679776526831818,0.0596487734254456,0.068468215773819,0.0955046882806778,0.120017016669281,0.0853208166289063,"Ls7"
"54",54,"KR_CRK","2018_06_02","2018-06-02","2018-06-02",22.7133333333333,351.225020833333,353.642166666667,5.36353145833333,"2018-06-02",153,2018,6,2,48,280.6663125,59.4894535378458,14.566004064,0.094190083328709,0.964885453624473,2.76109245051171,1.64255881048413,1,0.9997751575002,1.37197313655447,3.90935603287622,4.05253826270212,24.7463579868246,0.203015181645751,0.0806230138451792,0.112656328268349,38.2013,14.6446865393309,2.47463579868246,"Rice",-0.322607941511024,0.106190062,0.103332792,0.101966466,0.146843168,0.068729681,0.04676814,"Ls7"
"55",55,"KR_CRK","2018_06_18","2018-06-18","2018-06-18",22.5696875,333.556770833333,363.416291666667,12.4280289583333,"2018-06-18",169,2018,6,18,64,447.116833333333,68.3201190992237,13.8332664,0.436734966327548,0.908282263746326,2.73714152279232,1.87001834828602,1,0.999495254439384,6.041471135404,2.05711964516442,2.2659899611349,114.499011435509,0.475525032877922,0.891600480079651,0.313656490296125,38.2013,14.8185200482986,11.4499011435509,"Rice",0.0750876318651537,0.115811703476379,0.105164230263542,0.0888888854494934,0.245990464597427,0.151760676377373,0.0776585416748886,"Ls7"
"56",56,"KR_CRK","2018_07_20","2018-07-20","2018-07-20",25.9857291666667,292.824854166667,410.192354166667,12.7000916666667,"2018-07-20",201,2018,7,20,96,866.0369375,73.8246980176436,12.144032352,0.634713303217888,0.99751461340062,3.35860515284438,2.47948011169238,1,0.973151931362777,7.70797888852282,1.64765522199044,1.69733053198905,174.313423042297,0.633025698661804,1.96938427448273,0.486004028618336,38.2013,14.4815146168021,17.4313423042297,"Rice",0.53313820212035,0.1200946,0.106060611,0.081230528,0.36147568,0.163895236,0.075519636,"Ls7"
"57",57,"KR_CRK","2018_09_22","2018-09-22","2018-09-22",19.4847916666667,240.0398125,349.305020833333,2.01676483629167,"2018-09-22",265,2018,9,22,160,1787.12047916667,68.3940004863038,9.954931104,0.232204851348698,0.313328395180885,2.26473853870978,1.54894528717868,1,0.968683018759354,2.31158329719085,0.872460377587318,2.87451296597,13.156022477746,0.312812133133411,0.352980972006917,0.210253333747387,38.2013,12.2089484952994,1.3156022477746,"Rice",-0.0924023166985909,0.088697089,0.08868225,0.09332508,0.17430821,0.15539532,0.092573677,"Ls7"
"58",58,"KR_CRK","2018_10_08","2018-10-08","2018-10-08",10.8344375,182.884395833333,288.1653125,0.353784204166667,"2018-10-08",281,2018,10,8,176,1861.27135416667,53.0932482294948,7.584581664,0.167062735702395,0.291193320864169,1.2983371050951,0.689329342063777,1,0.678727428415514,1.26710096194607,0.279207588654427,1.41270150740039,4.82611289948225,0.2609886521101,0.195309222117066,0.161574968397617,38.2013,11.5560922159264,0.482611289948225,"Rice",0.263525511101038,0.075099845,0.071625412,0.078501884,0.1300149,0.11342856,0.068307958,"Ls7"
"59",59,"KR_CRK","2018_10_24","2018-10-24","2018-10-24",8.9161875,171.222833333333,301.519854166667,0.0776026902083333,"2018-10-24",297,2018,10,24,192,1855.06814583333,60.0241875908036,7.100953344,0.0246947506214678,0,1.14157632433051,0.685221914408345,1,0.58126809007775,0.175356272004758,0.442542997299963,Inf,0,0.147728520780802,0.0325866513256915,0.0812372064776719,38.2013,10.9213076198321,0,"Rice",-0.0626729036082331,0.071082734,0.05951162,0.059825625,0.07871452,0.082739455,0.049642461,"Ls7"
"60",60,"KR_CRK","2018_12_27","2018-12-27","2018-12-27",-11.583125,133.3899375,176.196020833333,0.147493660416667,"2018-12-27",361,2018,12,27,0,NA,21.8260671144072,5.531947488,0.0421946320471167,NA,0.251772035129436,0.0549519333626595,1,-1.02194370189542,0.233418488760132,0.631885079884293,NA,NA,0.161650463044643,0.0284565021342132,0.108143279179931,38.2013,9.51241949316612,NA,"Rice",0.0758895709204611,0.0627349224939804,0.0571765775840683,0.0648559376219559,0.0864919019684715,0.121869471764336,0.0867126930993347,"Ls7"
"61",1,"PH_RiF","2013_06_28","2013-06-28","2013-06-28",29.09135417,297.919,416.17175,2.7988675,"2013-06-28",179,2013,6,28,89,1628.08979166,78.4558856054364,12.355296768,0.24875577985853,NA,4.02687339201384,3.15931918191414,0.906000142072567,0.873977945372649,3.07345148290741,0.9106594054162,NA,NA,0.32597914069891,0.432330394126475,0.246171348690987,14.1412,12.9572467661235,NA,"Rice",-0.0469279107724272,0.1852734,0.179158,0.1727148,0.3299374,0.2354686,0.1502062,"Ls8"
"62",2,"PH_RiF","2013_12_21","2013-12-21","2013-12-21",26.40720833,130.1196667,421.3294375,1.94446,"2013-12-21",355,2013,12,21,68,1105.8632708,82.8299048640311,5.3963228173824,0.217159814662784,0.636476058748943,3.44320882626937,2.85200659506884,0.976184275766383,0.964534972406192,1.17186446288332,1.65928745310336,2.76878842168053,20.0604441833496,0.300843130201101,0.310838647931814,0.207258036881685,14.1412,11.2892964994751,2.00604441833496,"Rice",-0.0984333029169599,0.139827,0.1272872,0.1175718,0.2128358,0.1401726,0.0957842,"Ls8"
"63",3,"PH_RiF","2014_01_06","2014-01-06","2014-01-06",25.8674375,174.8049583,414.1857292,7.496059167,"2014-01-06",6,2014,1,6,84,1359.69049995,80.4301728044086,7.2495112306176,0.460184271397293,0.000261520890829988,3.33518847363185,2.68249785269481,0.958077323884112,0.975333773409578,3.33611104364825,2.24694534112467,9194.58848759969,0.121528701782227,0.494180009067059,1.15448317065835,0.373658352345228,14.1412,11.322207345729,0.0121528701782227,"Rice",-0.119622666165928,0.1042396,0.0957246,0.080863,0.2319556,0.1494096,0.0932218,"Ls8"
"64",4,"PH_RiF","2014_02_07","2014-02-07","2014-02-07",26.7474375,213.9236667,417.2233542,12.25170292,"2014-02-07",38,2014,2,7,116,1824.57022915,82.1876195277353,8.8718423053824,0.568021417444795,0.554714765189347,3.51285167163005,2.88712916645299,0.965799236818471,0.956584887609113,5.03939644165001,2.43118457971299,4.74392520582043,84.3191765022278,0.579969305843115,1.99329340673983,0.411931281834841,14.1412,11.5829235792131,8.43191765022278,"Rice",-0.116742122903174,0.0739804,0.0659476,0.0540344,0.2261354,0.1327624,0.0740418,"Ls8"
"65",5,"PH_RiF","2014_03_27","2014-03-27","2014-03-27",26.66672917,218.3111042,423.898,3.372374583,"2014-03-27",86,2014,3,27,164,2575.33410413,79.4182821315194,9.0537981133824,0.168192154242545,0,3.49622110497105,2.77663874108764,0.940222424233349,0.958553386271461,1.52277780876688,2.21462025752194,Inf,0,0.261887155324221,0.235163433551788,0.210763233155012,14.1412,12.1913848467992,0,"Rice",-0.0789741058903203,0.1873584,0.1715648,0.165139,0.2815872,0.2271236,0.1437418,"Ls8"
"66",6,"PH_RiF","2014_04_12","2014-04-12","2014-04-12",26.78604167,237.2797292,419.7557708,3.231915,"2014-04-12",102,2014,4,12,12,212.48258332,73.5379981140206,9.8404649293824,0.385875974197686,0.465257008613624,3.52083068992561,2.58914840635536,0.892949705836594,0.955624868172615,3.79719899118359,0.851131322720753,2.14382439220318,38.715978307724,0.435064418613911,0.784273007810116,0.334962937533855,14.1412,12.3998499507231,3.8715978307724,"Rice",-0.00165014512661617,0.1349952,0.1337136,0.1350574,0.344168,0.2938938,0.1684294,"Ls8"
"67",7,"PH_RiF","2014_04_28","2014-04-28","2014-04-28",28.13147917,238.3635,429.6795417,5.9586525,"2014-04-28",118,2014,4,28,28,506.70977081,77.4407623590273,9.885411072,0.391906193909943,0,3.80896415552959,2.9496908800242,0.907755294408177,0.914193093196467,3.87415382846273,1.53805263389978,Inf,0,0.439861729443073,0.734735338687897,0.302854706496,14.1412,12.594937762459,0,"Rice",-0.0865887908303768,0.126656,0.1160248,0.107104,0.2783698,0.229292,0.130848,"Ls8"
"68",8,"PH_RiF","2014_05_14","2014-05-14","2014-05-14",27.65716667,230.4599583,425.1667708,2.757573125,"2014-05-14",134,2014,5,14,44,801.27593748,74.0630272646239,9.5576353906176,0.309351816709191,0.263184630074507,3.70512874933382,2.74413051580853,0.887280235596317,0.930644306002905,2.95667187153161,0.93266119637805,4.29159621005177,17.1462845599651,0.374186011701822,0.574199897944927,0.292925138249993,14.1412,12.7636619935964,1.71462845599651,"Rice",0.0581133613327422,0.1419838,0.1449698,0.1559044,0.3442366,0.3167244,0.1895662,"Ls8"
"69",9,"PH_RiF","2014_05_30","2014-05-30","2014-05-30",27.44110417,219.2960833,423.9239583,1.963202129,"2014-05-30",150,2014,5,30,60,1099.30674998,77.2678343118286,9.0946471666176,0.291327118317038,0.817513006077374,3.65865181204713,2.82696102017929,0.913725902947821,0.937451401254324,2.64951735116092,0.74096594541636,1.05812963621075,45.620682220459,0.359846553951502,0.511464205607772,0.241191377341747,14.1412,12.8894474972814,4.5620682220459,"Rice",-0.142862107114459,0.1447582,0.1257048,0.1098232,0.243643,0.1435834,0.0794074,"Ls8"
"70",10,"PH_RiF","2014_06_15","2014-06-15","2014-06-15",27.0636875,197.3385208,426.2680208,2.866474375,"2014-06-15",166,2014,6,15,76,1379.78704165,77.5793689587669,8.1840231346176,0.241028069321811,NA,3.57868330483679,2.77631992492513,0.920295443727621,0.948362469477216,1.97257929542192,1.45316053030298,NA,NA,0.319831399619579,0.420039868637687,0.203142650537193,14.1412,12.9554026499044,NA,"Rice",-0.0663595815076866,0.1187826,0.1103908,0.1045076,0.2123772,0.1380784,0.077647,"Ls8"
"71",11,"PH_RiF","2014_07_01","2014-07-01","2014-07-01",26.654125,194.5797917,425.4971875,4.520404375,"2014-07-01",182,2014,7,1,92,1649.08924999,82.1477143437127,8.0696131213824,0.395477325990796,0.735285768933145,3.49363012175266,2.86993729264328,0.966393804592577,0.958856119699993,3.19134901902455,1.41645565810965,2.07892700910486,56.4488772583008,0.442702725529671,0.846056146919727,0.295833501517773,14.1412,12.9509180179728,5.64488772583008,"Rice",-0.136409062760788,0.1247758,0.1128166,0.0941872,0.259682,0.1441292,0.0767436,"Ls8"
"72",12,"PH_RiF","2012_02_26","2012-02-26","2012-02-26",26.53879167,212.8500833,421.8351042,1.219886875,"2012-02-26",57,2012,2,26,57,890.36904167,80.2219326329902,8.8273186546176,0.369663703441024,2.74884753155045,3.46999913899474,2.7837003716497,0.948888927203698,0.961567978100059,3.26313930531998,0.373838430069837,0.149052039009307,118.403001785278,0.422166828513145,0.724778717756271,0.16415427595377,14.1412,11.8105672145463,11.8403001785278,"Rice",-0.0163469354655468,0.129748434804687,0.126725214508606,0.117020623490143,0.267769707803917,0.186455343942383,0.108996357499588,"Ls7"
"73",13,"PH_RiF","2012_04_14","2012-04-14","2012-04-14",27.69677083,266.554625,413.6567708,1.400779792,"2012-04-14",105,2012,4,14,15,253.79312499,76.2218206306842,11.054553408,0.601764127362966,1.03955752259934,3.71370347016929,2.83065239778793,0.902760119999483,0.929350944550399,6.65223368495243,0.210572847909509,0.24143583755032,159.035588582357,0.606813148260117,1.60547761678696,0.209624271988869,14.1412,12.4377854132946,15.9035588582357,"Rice",0.444097694070655,0.0860682887460937,0.0852685835362663,0.0699774204843521,0.276869006996941,0.164150812636719,0.0780357892947311,"Ls7"
"74",14,"PH_RiF","2012_04_30","2012-04-30","2012-04-30",27.51297917,240.7174792,424.2825625,1.334392708,"2012-04-30",121,2012,4,30,31,541.19237499,75.0084777360378,9.9830352973824,0.104830809441794,NA,3.67405607915055,2.75585353613918,0.895616721802512,0.935233247208784,1.0465296709106,1.27506438191946,NA,NA,0.211480357551149,0.139694437650698,0.100774620622396,14.1412,12.6290400724142,NA,"Rice",-0.300040791721604,0.249408468039062,0.25481382079464,0.249532292940521,0.369626696054489,0.309832516149414,0.214622082348228,"Ls7"
"75",15,"PH_RiF","2012_10_23","2012-10-23","2012-10-23",27.31189583,220.572125,410.917,1.184315229,"2012-10-23",297,2012,10,23,10,169.77374998,75.5486873679671,9.147567168,0.495270736312568,1.24343015873572,3.63110123906983,2.74324932311925,0.901767906951995,0.941324790752241,4.53052232676403,0.261408099018443,0.247664278115891,121.156547494131,0.522092868983746,1.31337617665529,0.384685078412294,14.1412,11.7264642542982,12.1156547494131,"Rice",0.278389740146341,0.114249048,0.107755283,0.0963802,0.286705508,0.194329064,0.101405222,"Ls7"
"76",16,"PH_RiF","2012_11_24","2012-11-24","2012-11-24",27.20597917,182.6724375,417.6545625,1.035366354,"2012-11-24",329,2012,11,24,42,701.74499997,79.321718745311,7.575791328,0.454522856783122,1.97912907707985,3.60865198731019,2.86244477987126,0.933573608567447,0.944392093056987,3.44337031679536,0.300683998160147,0.172319842347776,124.617091369629,0.489676099270582,0.949014173820615,0.0462669497728348,14.1412,11.3986880953286,12.4617091369629,"Rice",-0.0693924670131332,0.103050162921875,0.0862336048078842,0.0744913785881043,0.167360750769089,0.106761795199219,0.0587670504589538,"Ls7"
"77",17,"PH_RiF","2012_12_10","2012-12-10","2012-12-10",26.6985,186.6071875,419.38725,0.915968979,"2012-12-10",345,2012,12,10,58,970.38972913,79.2398017701214,7.73897328,0.261110957223561,0.968342579157783,3.50275952258094,2.77557970217719,0.938300411978939,0.957784692832126,2.02073072106837,0.453286016513732,0.520874976649071,48.4487117831824,0.335808239636883,0.473854394148915,0.122743770256639,14.1412,11.308996078771,4.84487117831824,"Rice",-0.148261513411615,0.0794245265351562,0.0688026500926285,0.0670477334690094,0.128513366952675,0.08994676465625,0.0482807440870819,"Ls7"
"78",18,"PH_RiF","2013_02_28","2013-02-28","2013-02-28",26.07816667,291.5670833,383.1338125,10.78435229,"2013-02-28",59,2013,2,28,138,2209.5440833,79.0507806800996,12.0918700786176,0.598322644355595,0.767507573460994,3.37700342157914,2.66954756835199,0.94333264909091,0.971375698921836,7.23483968064278,1.49061385822469,2.11948518231188,123.40367401123,0.604075293838978,1.64625860720873,0.396975542455912,14.1412,11.8360838154554,12.340367401123,"Rice",0.346469375487183,0.074010456,0.066889199,0.0500205,0.203952398,0.117328488,0.056140247,"Ls7"
"79",19,"PH_RiF","2013_04_01","2013-04-01","2013-04-01",28.13233333,287.756875,416.4722917,7.372131438,"2013-04-01",91,2013,4,1,1,18.13233333,77.7235277711226,11.93385312,0.145497249101599,NA,3.80915340763866,2.9606084066307,0.910054485235904,0.914161532017636,1.73634280014253,4.2457810965639,NA,NA,0.24383233818743,0.190257970761094,0.0652275970578194,14.1412,12.2573336954329,NA,"Rice",-0.270551877503374,0.214511546257812,0.203859581419838,0.208383332220459,0.309438158935341,0.243278398726562,0.155904391773968,"Ls7"
"80",20,"PH_RiF","2013_04_17","2013-04-17","2013-04-17",29.52864583,269.4903333,426.2601667,2.240413542,"2013-04-17",107,2013,4,17,17,314.11097916,69.7163036808077,11.1763031026176,0.317914546767348,1.11923579207325,4.12968991291716,2.87906716076501,0.839073581897638,0.852231463504143,3.55310933540318,0.630550126807673,0.787844333737596,72.9103655815125,0.380998048343157,0.516957475950843,0.045577816516161,14.1412,12.4627833604223,7.29103655815125,"Rice",0.0616398367766143,0.105052424507813,0.100901944595085,0.102151397335434,0.233353058614494,0.200301102710938,0.111471714533222,"Ls7"
"81",21,"PH_RiF","2013_05_03","2013-05-03","2013-05-03",28.917125,268.6655417,421.3321875,3.06199875,"2013-05-03",123,2013,5,3,33,616.86458332,70.3744026919686,11.1420973453824,0.147373289539367,2.00073839936876,3.98653316464628,2.80549890273706,0.849550529766293,0.882016039559746,1.64204753815685,1.86474427740198,1.24383644485668,30.6676328809638,0.245324812680483,0.139673171573086,0.102899154722691,14.1412,12.6512164052433,3.06676328809638,"Rice",-0.376352889661007,0.102991192,0.076867202,0.06238225,0.098992477,0.050516328,0.023831852,"Ls7"
"82",22,"PH_RiF","2013_06_04","2013-06-04","2013-06-04",28.23466667,208.7517083,420.1288542,2.399807917,"2013-06-04",155,2013,6,4,65,1197.12620834,77.2426629293245,8.6573508466176,0.253840060852744,1.00713910346605,3.83188622943264,2.95985096403586,0.905057350747749,0.910328435683699,2.19758246572897,1.09202178049048,1.31603558718569,52.9501583226522,0.330023914759542,0.420692553374353,0.166909483335912,14.1412,12.917176304129,5.29501583226522,"Rice",-0.0836683298146352,0.101661076484375,0.0933601881701279,0.0936232089107513,0.186347819527157,0.168298090149414,0.0988866946411018,"Ls7"
"83",23,"PH_RiF","2013_07_06","2013-07-06","2013-07-06",27.66654167,204.7050208,420.6442083,1.87612625,"2013-07-06",187,2013,7,6,97,1765.88897916,79.0721736873895,8.4895266226176,0.146535539270341,NA,3.70715697740583,2.93132960403852,0.926450019020106,0.930339435618481,1.24401736179519,1.50811902439419,NA,NA,0.244658344686031,0.206714124009013,0.208481765836477,14.1412,12.9349131269581,NA,"Rice",-0.267255010253677,0.231961944,0.219540719,0.2136725,0.33808488,0.249427176,0.194376989,"Ls7"
"84",24,"PH_RiF","2013_11_27","2013-11-27","2013-11-27",26.31910417,154.8853542,428.8163542,0.65741125,"2013-11-27",331,2013,11,27,44,720.64693748,83.7180266317458,6.4234054093824,0.301509283806384,NA,3.42537175140464,2.86765363507723,0.986853995016704,0.966446976057892,1.93671636458094,0.339446323696578,NA,NA,0.367946924269199,0.72589769423008,0.4026906645298,14.1412,11.3839888811889,NA,"Rice",-0.065843137254902,0.289735,0.3259595,0.308676,0.646277523,0.381332968,0.198662627,"Ls7"
"85",25,"PH_RiF","2013_12_29","2013-12-29","2013-12-29",24.66327083,119.6122708,422.1784167,3.757767083,"2013-12-29",363,2013,12,29,76,1234.14062496,80.8698547282181,4.9605600946176,-0.075242963720113,NA,3.10479330027587,2.51084183154455,0.97533525277366,0.992007891932284,-0.373247243230753,-10.0677691561056,NA,NA,0.0682235769927502,0.00100000004749745,0.0194752529263496,14.1412,11.2954630112476,NA,"Rice",-0.458518836264842,0.279485125289062,0.275428672899933,0.280900268609619,0.309236391760544,0.242104868232422,0.153971483653664,"Ls7"
"86",26,"PH_RiF","2014_02_15","2014-02-15","2014-02-15",24.25725,202.4466667,404.4276667,11.566725,"2014-02-15",46,2014,2,15,124,1946.97674997,77.8851984634751,8.3958681613824,0.515679658842148,0.932908929704546,3.03030273830427,2.3601573017724,0.953247675288602,0.995487775954381,4.32957842914533,2.67155918048199,3.01775419769816,120.654508423559,0.538329084202186,1.37988678991948,0.368023471906781,14.1412,11.6748310169845,12.0654508423559,"Rice",0.28408213400032,0.084326232,0.074163998,0.06321055,0.210973874,0.138945992,0.07263912275,"Ls7"
"87",27,"PH_RiF","2014_03_03","2014-03-03","2014-03-03",25.85897917,232.7962292,408.5954792,10.70300477,"2014-03-03",62,2014,3,3,140,2187.57268748,77.9588371884809,9.6545252173824,0.474289571352627,0.997825159585746,3.33351955157449,2.59877307985813,0.936406048955642,0.975485894307166,4.57904062696543,2.33739021815427,2.56443424481175,124.522482651931,0.505401409190634,1.13132499385139,0.326960011348128,14.1412,11.8747171460705,12.4522482651931,"Rice",0.178239771805049,0.0861456239101562,0.081518303,0.0723479958652496,0.213021804393711,0.140968477311035,0.074430342197195,"Ls7"
"88",28,"PH_RiF","2014_09_27","2014-09-27","2014-09-27",27.9470625,227.4199583,424.7504167,8.773410417,"2014-09-27",270,2014,9,27,180,3112.57262501,81.2982147148598,9.4315605106176,0.544119863990545,1.03335778852597,3.76829499424911,3.06355655551396,0.94403692536315,0.920841937138362,5.13189942225585,1.70958346902743,1.90311714167871,136.912648836772,0.560954545736313,1.29627658605576,0.093062504529953,14.1412,12.0707733096314,13.6912648836772,"Rice",0.336331974938047,0.10306107965625,0.0985539897630234,0.0771992256919861,0.291441021186874,0.17220265062207,0.0759362823695946,"Ls7"
"89",29,"PH_RiF","2014_10_13","2014-10-13","2014-10-13",26.62127083,186.0115417,423.4598333,3.122295833,"2014-10-13",286,2014,10,13,196,3374.25825001,84.4277638428266,7.7142706573824,0.201289320688356,4.15637735885995,3.48688429743999,2.94389844011524,0.991752976883861,0.95963930921761,1.55280030023062,2.01075169327072,0.508313835293125,101.94922281901,0.288217438892885,0.368834144980102,0.180851022154093,14.1412,11.8634751044656,10.194922281901,"Rice",-0.212567204523377,0.224325207820312,0.233653425245804,0.227404030527496,0.361141705095505,0.305585972771484,0.190136107628113,"Ls7"
"90",30,"PH_RiF","2014_12_16","2014-12-16","2014-12-16",25.95645833,155.1112708,420.9967292,1.530624521,"2014-12-16",350,2014,12,16,63,1016.70020835,84.7723875240739,6.4327746226176,0.269876465466469,NA,3.35279748128182,2.84224647372962,1.00302444550183,0.97370130848708,1.73605447829444,0.881668484564919,NA,NA,0.342781595438719,0.36767814245075,0.178754542768002,14.1412,11.2953920556224,NA,"Rice",-0.214021897913262,0.084879704,0.071063264,0.06039935,0.120419124,0.073155304,0.034612391,"Ls7"
"91",1,"US_HRA","2017_02_26","2017-02-26","2017-02-26",8.74816666666667,197.782208333333,290.026166666667,0.825224645833333,"2017-02-26",57,2017,2,26,0,NA,58.9675588834615,8.202423744,0.0717268279124796,0.263000226183567,1.12867436645046,0.665551721639211,1,0.572228182513657,0.588333836351124,1.40264692398353,9.32015206940508,1.22879177669063,0.185144652277231,0.0737378874979913,0.129730582162738,34.5852,11.2998501008965,0.122879177669063,"Rice",0.0386059850360927,0.0988622,0.099728,0.1068904,0.1554586,0.1870716,0.153739,"Ls8"
"92",2,"US_HRA","2017_05_01","2017-05-01","2017-05-01",15.8558333333333,332.215270833333,303.533333333333,0.1868706875,"2017-05-01",121,2017,5,1,16,137.597770833333,64.614335147094,13.777631712,-0.184351283914074,0.204830109855683,1.80161056175796,1.16409868641973,1,0.879627386786906,-2.53992409540247,-0.0735733354544948,-0.408345623081417,1.31334341228008,-0.0185769959539175,0.0220044638658874,-0.00513417791575193,34.5852,13.545236411158,0.131334341228008,"Rice",-0.0120802439755661,0.1217486,0.1190576,0.1190862,0.1207,0.0784532,0.0490976,"Ls8"
"93",3,"US_HRA","2017_07_20","2017-07-20","2017-07-20",29.6995833333333,288.685333333333,434.404166666667,15.4172132083333,"2017-07-20",201,2017,7,20,96,1290.78027083333,65.4771549153776,11.972358144,0.662817395729422,0.897307394456281,4.17049730020427,2.73072297799639,1,0.843086840976849,7.93548724574602,1.94281872440763,2.5681401638967,128.628432559967,0.655383767485619,2.16742852628231,0.489640634208918,34.5852,14.1772950714767,12.8628432559967,"Rice",-0.183390645638261,0.1114638,0.100877,0.0737194,0.3449148,0.1266316,0.055946,"Ls8"
"94",4,"US_HRA","2017_08_21","2017-08-21","2017-08-21",28.5139583333333,230.565916666667,427.897916666667,6.67649479166667,"2017-08-21",233,2017,8,21,128,1809.6638125,76.6192857270283,9.562029696,0.378118213341385,0.636133458453545,3.89453141568488,2.98396215311248,1,0.899332297127771,3.61557758456879,1.84659148794423,3.22776865995439,53.7183319651149,0.428892771154642,0.989088601637632,0.382981105446816,34.5852,13.3025479234948,5.37183319651149,"Rice",-0.0218800522155823,0.1861178,0.1944118,0.1817978,0.4358386,0.257052,0.1577908,"Ls8"
"95",5,"US_HRA","2017_04_07","2017-04-07","2017-04-07",13.5212291666667,281.503708333333,291.329125,0.94188625,"2017-04-07",97,2017,4,7,0,NA,62.8731022417753,11.674521792,0.101733974321683,0.369656536374058,1.54960891507367,0.974287197521934,1,0.796523679795664,1.18769550020526,0.793036809381885,2.69337152611734,5.77151212929113,0.209016686015659,0.137424049720479,0.134241884425282,34.5852,12.7395947552973,0.577151212929113,"Rice",-0.238760469293388,0.120336867348053,0.125386538103394,0.138039206419449,0.199484712043457,0.262229064817566,0.220344168160522,"Ls7"
"96",6,"US_HRA","2017_04_23","2017-04-23","2017-04-23",14.69875,324.5861875,320.770833333333,0.992061145833334,"2017-04-23",113,2017,4,23,8,62.7933958333333,76.5775368274931,13.461238368,0.0417574104145169,0.207668035205446,1.67255148039674,1.2807987258596,1,0.840789501781029,0.562106455220218,1.76489904469194,10.1079464787303,1.1098947474407,0.161302633583546,0.0206598780776123,0.045507393553853,34.5852,13.2892626343415,0.11098947474407,"Rice",-0.288568484916923,0.0984062917040482,0.0876688387520981,0.0917203799777985,0.131457516644054,0.148768582219734,0.0921242938992309,"Ls7"
"97",7,"US_HRA","2017_05_09","2017-05-09","2017-05-09",23.9760416666667,325.993666666667,360.1375,0.04226089375,"2017-05-09",129,2017,5,9,24,211.344020833333,69.9489650843257,13.519609344,0.0203447739819437,0.770600742940362,2.97962920605819,2.08421979298802,1,0.997302384798063,0.275053396427854,0.153646143980938,0.199924208084464,4.72119048061286,0.144267918840051,0.0242271816066932,0.103946142792702,34.5852,13.7822470321561,0.472119048061286,"Rice",-0.316697003176968,0.143458392,0.15035623,0.16801385,0.214469558,0.28415604,0.23554534,"Ls7"
"98",8,"US_HRA","2017_05_25","2017-05-25","2017-05-25",20.5060416666667,351.736979166667,337.276,9.16109475,"2017-05-25",145,2017,5,25,40,414.394520833333,70.8629456653436,14.587236,0.113304765643552,0.416441425506469,2.41253987637534,1.7095968217506,1,0.983874296026061,1.65280335636718,5.54276146324862,13.5279705682272,10.328979251273,0.218221770599484,0.112593092776369,0.0918769883364439,34.5852,14.1753709503548,1.0328979251273,"Rice",-0.402314356786645,0.085191174,0.075361042,0.06041328,0.092561227,0.03146416,0.017073568,"Ls7"
